category,product_name,price,image,source
Điện thoại Samsung,Samsung Galaxy Z Flip7 FE 5G 8GB/128GBMẫu mới,22.990.000₫,images/samsung/samsung_1.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy Z Fold7 5G 12GB/256GBMẫu mới,46.990.000₫,images/samsung/samsung_2.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy Z Flip7 5G 12GB/256GBMẫu mới,28.990.000₫,images/samsung/samsung_3.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A06 5G 6GB/128GB,4.210.000₫,images/samsung/samsung_4.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A36 5G 12GB/256GB,9.610.000₫,images/samsung/samsung_5.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy S25 Ultra 5G 12GB/256GB,28.380.000₫,images/samsung/samsung_6.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy Z Fold6 5G 12GB/256GB,34.390.000₫,images/samsung/samsung_7.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A26 5G 6GB/128GB,6.270.000₫,images/samsung/samsung_8.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy S24 FE 5G 8GB/256GB,14.060.000₫,images/samsung/samsung_9.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy S24 5G 8GB/256GB,17.510.000₫,images/samsung/samsung_10.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A56 5G 12GB/256GB,11.280.000₫,images/samsung/samsung_11.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy S25 5G 12GB/256GB,18.690.000₫,images/samsung/samsung_12.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A35 5G 8GB/256GB,7.830.000₫,images/samsung/samsung_13.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A06 4GB/64GB,2.940.000₫,images/samsung/samsung_14.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy A16 5G 8GB/256GB,6.370.000₫,images/samsung/samsung_15.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy S24 Ultra 5G 12GB/256GB,23.850.000₫,images/samsung/samsung_16.jpg,https://www.thegioididong.com/dtdd-samsung
Điện thoại Samsung,Samsung Galaxy M35 5G 8GB/256GB,7.830.000₫,images/samsung/samsung_17.jpg,https://www.thegioididong.com/dtdd-samsung
